"Row ID","Order Priority","Discount","Unit Price","Shipping Cost","Customer ID","Customer Name","Product Name","Product Base Margin","Country","City","Order Date","Ship Date","Profit","column1","Quantity ordered new","Sales","Order ID"
"20847","High","0.01","2.84","0.93","3","Bonnie Potter","SANFORD Liquid Accent™ Tank-Style Highlighters","0.54","United States","Anacortes","1/7/2015","1/8/2015","4.56","true","4","13.01","88522"
"20228","Not Specified","0.02","500.98","26","5","Ronnie Proctor","Global Troy™ Executive Leather Low-Back Tilter","0.6","United States","San Gabriel","6/13/2015","6/15/2015","4390.3665","true","12","6362.85","90193"
"21776","Critical","0.06","9.48","7.29","11","Marcus Dunlap","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","0.45","United States","Roselle","2/15/2015","2/17/2015","-53.8096","false","22","211.15","90192"
"24844","Medium","0.09","78.69","19.99","14","Gwendolyn F Tyson","Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock","0.43","United States","Prior Lake","5/12/2015","5/14/2015","803.4705","true","16","1164.45","86838"
"24846","Medium","0.08","3.28","2.31","14","Gwendolyn F Tyson","Newell 321","0.56","United States","Prior Lake","5/12/2015","5/13/2015","-24.03","false","7","22.23","86838"
"24847","Medium","0.05","3.28","4.2","14","Gwendolyn F Tyson","Newell 351","0.56","United States","Prior Lake","5/12/2015","5/13/2015","-37.03","false","4","13.99","86838"
"24848","Medium","0.05","3.58","1.63","14","Gwendolyn F Tyson","OIC Colored Binder Clips, Assorted Sizes","0.36","United States","Prior Lake","5/12/2015","5/13/2015","-0.71","false","4","14.26","86838"
"18181","Critical","0","4.42","4.99","15","Timothy Reese","Grip Seal Envelopes","0.38","United States","Smithtown","4/8/2015","4/9/2015","-59.82","false","7","33.47","86837"
"20925","Medium","0.01","35.94","6.66","15","Timothy Reese","Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray","0.4","United States","Smithtown","5/28/2015","5/28/2015","261.8757","true","10","379.53","86839"
"26267","High","0.04","2.98","1.58","16","Sarah Ramsey","Staples Gold Paper Clips","0.39","United States","Syracuse","2/12/2015","2/15/2015","2.63","true","6","18.8","86836"
"26268","High","0.05","115.99","2.5","16","Sarah Ramsey","StarTAC 7797","0.55","United States","Syracuse","2/12/2015","2/14/2015","652.7331","true","10","945.99","86836"
"23890","High","0.05","26.48","6.93","18","Laurie Hanna","DAX Natural Wood-Tone Poster Frame","0.49","United States","Helena","5/15/2015","5/16/2015","314.4813","true","17","455.77","90031"
"24063","Not Specified","0.07","12.99","9.44","19","Jim Rodgers","Hewlett Packard 6S Scientific Calculator","0.39","United States","Missoula","5/21/2015","5/23/2015","-114.6399","false","18","231.79","90032"
"5890","High","0.05","26.48","6.93","21","Tony Wilkins Winters","DAX Natural Wood-Tone Poster Frame","0.49","United States","New York City","5/15/2015","5/16/2015","384.38","true","70","1876.69","41793"
"6062","Not Specified","0.08","5","3.39","21","Tony Wilkins Winters","Advantus Plastic Paper Clips","0.37","United States","New York City","5/21/2015","5/22/2015","-17.49","false","58","293.06","42949"
"6063","Not Specified","0.07","12.99","9.44","21","Tony Wilkins Winters","Hewlett Packard 6S Scientific Calculator","0.39","United States","New York City","5/21/2015","5/23/2015","-114.6399","false","71","914.29","42949"
"20631","High","0.06","55.48","14.3","24","Edna Thomas","Xerox 194","0.37","United States","Laguna Niguel","1/28/2015","1/29/2015","-28.2968","false","1","67.49","87651"
"20632","High","0.02","1.68","1.57","24","Edna Thomas","Newell 323","0.59","United States","Laguna Niguel","1/28/2015","1/30/2015","-5.3072","false","1","2.25","87651"
"23967","Not Specified","0.04","4.14","6.6","27","Guy Gallagher","Eldon Image Series Black Desk Accessories","0.49","United States","Lakewood","5/2/2015","5/4/2015","8.89400000000001","true","12","54.78","87652"
"23509","High","0.08","34.99","7.73","32","Matthew Berman","Hunt Boston® Vacuum Mount KS Pencil Sharpener","0.59","United States","Grants Pass","2/22/2015","2/23/2015","144.69","true","13","424.68","89199"
"23612","High","0.01","17.98","8.51","32","Matthew Berman","Canon P1-DHIII Palm Printing Calculator","0.4","United States","Grants Pass","3/27/2015","3/28/2015","-35.8788","false","2","40.17","89200"
"23278","Medium","0.09","125.99","7.69","32","Matthew Berman","StarTAC 3000","0.59","United States","Grants Pass","1/20/2015","1/22/2015","209.997","true","8","783.55","89202"
"19355","Low","0.06","205.99","8.99","32","Matthew Berman","TimeportP7382","0.56","United States","Grants Pass","3/12/2015","3/19/2015","3568.096","true","22","3838.14","89203"
"23654","Not Specified","0.03","4.24","5.41","33","Ricky Hensley","Storex DuraTech Recycled Plastic Frosted Binders","0.35","United States","Gresham","6/15/2015","6/17/2015","-84.4376","false","13","58.68","89201"
"23655","Not Specified","0.04","2.94","0.7","33","Ricky Hensley","Newell 338","0.58","United States","Gresham","6/15/2015","6/16/2015","24.312","true","18","53.1","89201"
"25933","High","0","99.99","19.99","43","Theodore Moran","AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting","0.52","United States","Redmond","5/10/2015","5/11/2015","25.91382","true","6","647.07","91454"
"18551","Not Specified","0","115.99","2.5","52","Lorraine Kelly","6160","0.57","United States","Puyallup","3/10/2015","3/10/2015","162.666","true","6","627.04","88426"
"22117","Critical","0.07","3502.14","8.73","53","Sidney Russell Austin","Okidata Pacemark 4410N Wide Format Dot Matrix Printer","0.57","United States","Redmond","1/28/2015","1/30/2015","-6923.5992","false","1","3267.55","88425"
"18552","Not Specified","0.02","5.98","5.79","53","Sidney Russell Austin","Xerox 1903","0.36","United States","Redmond","3/10/2015","3/11/2015","-67.49","false","17","110.19","88426"
"20697","Medium","0.06","3.8","1.49","56","Randall Montgomery","Durable Pressboard Binders","0.38","United States","Tonawanda","4/20/2015","4/21/2015","19.6282","true","20","73.55","88075"
"20698","Medium","0.06","1.76","0.7","56","Randall Montgomery","Newell 310","0.56","United States","Tonawanda","4/20/2015","4/21/2015","-1.6524","false","17","29.57","88075"
"22890","High","0.02","5.98","5.15","62","Pam Gilbert","Xerox 193","0.36","United States","Round Rock","5/9/2015","5/11/2015","2.14","true","3","22.85","87407"
"25354","High","0.04","29.14","4.86","62","Pam Gilbert","Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate","0.38","United States","Round Rock","6/12/2015","6/14/2015","349.4091","true","17","506.39","87408"
"21017","Not Specified","0","3.69","0.5","64","Lynn Morrow","Avery 501","0.38","United States","Salem","3/2/2015","3/4/2015","-37.5291","false","1","4","87406"
"21019","Not Specified","0.02","175.99","4.99","64","Lynn Morrow","5165","0.59","United States","Salem","3/2/2015","3/2/2015","101.49","true","4","589.8","87406"
