"Row ID","Order Priority","Discount","Unit Price","Shipping Cost","average_Shipping Cost","Customer ID","Customer Name","Ship Mode","Customer Segment","Product Category","Product Sub-Category","Product Container","Product Name","Product Base Margin","Country","Region","State or Province","City","Postal Code","Order Date","Ship Date","Profit","Quantity ordered new","OverAll_discount_perItem","Sales","Order ID"
"19597","Medium","0.07","100.98","57.38","false","1827","Vincent Hale","Delivery Truck","Corporate","Furniture","Bookcases","Jumbo Box","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","0.78","United States","Central","Iowa","Burlington","52601","4/18/2015","4/21/2015","-429.86","2","14.137200000000002","215.32","86958"
"19598","Medium","0.03","85.99","0.99","true","1827","Vincent Hale","Regular Air","Corporate","Technology","Telephones and Communication","Wrap Bag","Accessory34","0.55","United States","Central","Iowa","Burlington","52601","4/18/2015","4/20/2015","264.1665","5","12.898499999999999","382.85","86958"
"20553","Not Specified","0.02","5.98","5.46","true","1828","Stacey Lucas","Regular Air","Corporate","Office Supplies","Paper","Small Box","Xerox 1983","0.36","United States","Central","Iowa","Cedar Falls","50613","2/19/2015","2/20/2015","-47.12","7","0.8372","44.8","86956"
"21383","Low","0.05","7.1","6.05","true","1828","Stacey Lucas","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","Wilson Jones Hanging View Binder, White, 1""","0.39","United States","Central","Iowa","Cedar Falls","50613","1/6/2015","1/6/2015","-101.246","14","4.97","100.99","86960"
"21384","Low","0.04","20.95","4","true","1828","Stacey Lucas","Regular Air","Corporate","Technology","Computer Peripherals","Small Box","Fellowes Basic 104-Key Keyboard, Platinum","0.6","United States","Central","Iowa","Cedar Falls","50613","1/6/2015","1/11/2015","-1.88","7","5.866","142.06","86960"
"23430","Critical","0.01","10.64","5.16","true","1829","Suzanne Cochran","Express Air","Corporate","Furniture","Office Furnishings","Small Box","Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry","0.57","United States","Central","Iowa","Cedar Rapids","52402","3/25/2015","3/27/2015","-11.69","5","0.532","58.52","86957"
"21385","Low","0.05","39.06","10.55","true","1829","Suzanne Cochran","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","Ibico Recycled Linen-Style Covers","0.37","United States","Central","Iowa","Cedar Rapids","52402","1/6/2015","1/13/2015","250.9806","9","17.577","363.74","86960"
"21386","Low","0.04","3.52","6.83","true","1829","Suzanne Cochran","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","Self-Adhesive Ring Binder Labels","0.38","United States","Central","Iowa","Cedar Rapids","52402","1/6/2015","1/15/2015","-57.753","4","0.5632","15.93","86960"
"21387","Low","0.02","15.51","17.78","false","1829","Suzanne Cochran","Regular Air","Corporate","Office Supplies","Storage & Organization","Small Box","Tenex File Box, Personal Filing Tote with Lid, Black","0.59","United States","Central","Iowa","Cedar Rapids","52402","1/6/2015","1/13/2015","-47.97","1","0.3102","21.28","86960"
"23589","High","0.01","155.99","8.99","true","1836","Dwight Albright Huffman","Express Air","Corporate","Technology","Telephones and Communication","Small Box","CF 688","0.58","United States","West","California","San Francisco","94110","4/19/2015","4/20/2015","-219.07908","5","7.7995","675.83","86600"
"23590","High","0.01","5.98","5.46","true","1837","Herbert Williamson","Regular Air","Corporate","Office Supplies","Paper","Small Box","Xerox 1983","0.36","United States","West","California","San Gabriel","91776","4/19/2015","4/21/2015","-18.8784","4","0.23920000000000002","28","86600"
"18141","Not Specified","0.07","40.98","2.99","true","1840","Clifford Webb","Regular Air","Home Office","Office Supplies","Binders and Binder Accessories","Small Box","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","0.36","United States","East","Massachusetts","Townsend","1469","3/30/2015","4/1/2015","369.2052","13","37.2918","535.08","86599"
"19139","High","0.09","35.99","1.1","true","1849","Michelle Steele","Regular Air","Consumer","Technology","Telephones and Communication","Small Box","Accessory35","0.55","United States","South","Alabama","Enterprise","36330","4/1/2015","4/3/2015","19.35","8","25.9128","222.71","89697"
"19140","High","0.01","125.99","2.5","true","1849","Michelle Steele","Regular Air","Consumer","Technology","Telephones and Communication","Small Box","i2000","0.6","United States","South","Alabama","Enterprise","36330","4/1/2015","4/2/2015","-967.834","2","2.5198","220.52","89697"
"19141","Not Specified","0.06","6.48","5.14","true","1852","Joy Kaplan McNeill","Express Air","Home Office","Office Supplies","Paper","Small Box","Xerox 23","0.37","United States","West","California","Carlsbad","92008","3/19/2015","3/21/2015","-28.45","10","3.8880000000000003","68.34","86847"
"19142","Not Specified","0.02","30.73","4","true","1854","Erika Morgan","Regular Air","Home Office","Technology","Computer Peripherals","Small Box","Fellowes 17-key keypad for PS/2 interface","0.75","United States","East","Connecticut","Seymour","6478","3/19/2015","3/22/2015","72.78","16","9.8336","522.22","86847"
